pid,task_type,trial_index,complete_time,is_correct,MenuSelect-menu_length,MenuSelect-target_index,MenuSelect-selected_index,MenuSelect-error_distance,MenuSelect-target_distance,MenuSelect-moving_distance,DragDrop-target_area,DragDrop-dropped_area,DragDrop-error_distance,DragDrop-target_distance,DragDrop-drag_distance,DragDrop-moving_distance,KeyboardInput-target_word,KeyboardInput-entered_word,KeyboardInput-num_key_clicks,KeyboardInput-num_backspaces,KeyboardInput-moving_distance
2,KeyboardInput,1,45.69458818435669,1,,,,,,,,,,,,,NETWORK,NETWORK,14,3,13860.706728641897
2,KeyboardInput,2,17.561811923980713,1,,,,,,,,,,,,,MONITOR,MONITOR,10,1,3695.6452084982866
2,KeyboardInput,3,24.527013063430786,1,,,,,,,,,,,,,EDUCATION,EDUCATION,12,1,4594.23234019563
2,KeyboardInput,4,22.56097674369812,1,,,,,,,,,,,,,LANGUAGE,LANGUAGE,11,1,5529.74067021758
2,KeyboardInput,5,37.22862792015076,1,,,,,,,,,,,,,PRACTICE,PRACTICE,13,2,8651.997905843144
2,MenuSelect,1,11.33434510231018,1,6,4,4,37.8002599089221,284.8596145472362,506.7235050412167,,,,,,,,,,,
2,MenuSelect,2,4.8308281898498535,1,6,2,2,34.91274976041638,182.62803727796015,234.94149715184196,,,,,,,,,,,
2,MenuSelect,3,3.6287379264831543,1,6,3,3,50.44959572736389,232.13142829009604,329.4302053658289,,,,,,,,,,,
2,MenuSelect,4,4.300933837890625,1,6,1,1,39.01464390283704,139.8177385026664,268.7828429529223,,,,,,,,,,,
2,MenuSelect,5,5.287289142608643,0,6,0,,38.41530441921975,111.68258592994702,190.82250486422586,,,,,,,,,,,
2,DragDrop,1,3.5941739082336426,1,,,,,,,A,A,770.9169864518487,770.9169864518487,0.0,783.5671485343752,,,,,
2,DragDrop,2,7.565716028213501,1,,,,,,,C,C,756.6676945661153,756.6676945661153,0.0,704.7113927255724,,,,,
2,DragDrop,3,7.79133415222168,1,,,,,,,D,D,1084.6183660624597,1084.6183660624597,0.0,1146.3108634509156,,,,,
2,DragDrop,4,5.668828010559082,1,,,,,,,B,B,948.8361291603519,948.8361291603519,0.0,1087.4417404993285,,,,,
2,DragDrop,5,4.295549154281616,1,,,,,,,D,D,1118.8395774193903,1118.8395774193903,0.0,1298.6332064410205,,,,,
