timestamp,task,trail,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP
-1,BA_LEFT_CLICK,0,,,,,,,,,,,,,
11302,BA_LEFT_CLICK,0,0.26881858944023745_0.823726676978361_-0.02242507816085325,0.32724078420845326_0.8103859351728394_-0.02292682836886427,0.3795160188182636_0.7363658459556579_-0.02658976687966691,0.4113836664398528_0.6586201234210681_-0.03361760602426981,0.4292800991743853_0.5935663932632912_-0.031571047635797204,0.3726492857552141_0.5973392045356465_0.008580880014021066,0.40488123525421726_0.5213166214452211_0.002867745289248461,0.4273764218894227_0.4855996052356552_-0.0076743614737534585,0.4479312714018569_0.4614642174735322_-0.036551244422344864,0.3464419839235341_0.5654100212217229_0.008216658775363284,0.37418887894384745_0.4742433952522634_-0.0018796259535055148,0.39828938719633367_0.4249423050580565_-0.022215702248385493,0.4220098109541012_0.39198674014080226_-0.04538306592035899
11335,BA_LEFT_CLICK,0,0.26400016140242494_0.8232898299516769_-0.021347347146106612,0.3229588899934106_0.8094779433134425_-0.02239018567749803,0.37512127033110015_0.7360350657759094_-0.026435253612032784,0.4070619645468408_0.6579498802462539_-0.03386638731584911,0.42435123078108233_0.5916036648807135_-0.03196399083290382,0.36734918042950393_0.5962680630570756_0.008306558249726984,0.39969751540216536_0.5192005783260683_0.0028190061879493668,0.42217421142320505_0.481763480498949_-0.007460679774629598,0.4427857252818859_0.4557072092449391_-0.03641390193664908,0.34089680293815894_0.5646987464237895_0.008090356313172117,0.36822402581399827_0.47287648337939253_-0.002069254219349288,0.39186880967619536_0.4224820418117956_-0.022608276198523,0.41526172173004733_0.3884958962668471_-0.04602204559746273
11368,BA_LEFT_CLICK,0,0.25894509467522364_0.8232881096698071_-0.020636885957585057,0.3185778764028401_0.8086189414122286_-0.022126463658403914,0.3707838095922117_0.7355726018951722_-0.026570526831810676,0.4029821338456483_0.6575978163750428_-0.034449850386984865,0.41933745187187516_0.5898680196807549_-0.032856376334459654,0.3622742198700314_0.5954062146096315_0.007895090435612276,0.39456672313525465_0.5177907586050685_0.0030679664359361232,0.4169990687216176_0.4784207748528793_-0.006942418150224309,0.4373119177709036_0.4509487882737895_-0.03601930550069714,0.3352220736314262_0.5643958613243649_0.007926060963060963,0.36202018344264153_0.47196643485910794_-0.0018382801114051046,0.3851403612423144_0.4204507933424724_-0.02253511229373356,0.4082315732000779_0.3854516955271954_-0.04637153981926352
11402,BA_LEFT_CLICK,0,0.25418440272839915_0.8245750163155576_-0.020302381791008538,0.31422006345900305_0.8089646049387123_-0.022119646852645523,0.3665040403762535_0.7359231317366273_-0.026784776110223934,0.39867050903651013_0.6578514865137305_-0.034957813613897736,0.414405179354861_0.5891186322057855_-0.03342954326822843,0.35729864659266514_0.5955250105976173_0.007633315626516402,0.3894496090627844_0.5174254012070224_0.0032265543020463232,0.4118012224550926_0.4763200606629431_-0.006602022593909917,0.43181802052577445_0.44767229441679157_-0.035919668367156224,0.32973545848285396_0.5650305998299082_0.007831617374429311,0.3560072094906245_0.4719866191092102_-0.0016908155678533319,0.37865685371782004_0.41948979627027616_-0.0225267459290611,0.4014083758162269_0.3834603954995151_-0.046555416097659355
11437,BA_LEFT_CLICK,0,0.2495395542814895_0.8257191732849901_-0.020239922743903023,0.3103287339775754_0.8089691359239313_-0.022317154674079617,0.36249052048993713_0.7365471167822767_-0.02730875190796217,0.3943910714595548_0.6591689937191937_-0.03595622670116916,0.4095143058564779_0.5899268766470442_-0.03460074869119713,0.3525316629597095_0.5965571039294488_0.007341502788650561,0.3845699828797289_0.5180464372604788_0.0033770950894909104,0.4069178966614313_0.4753414472520494_-0.006169369654412601,0.4267614580656696_0.445425070793443_-0.03546466397495972,0.3243458156502664_0.5664658269861189_0.007751102093227074,0.35012975221545495_0.47285202540898075_-0.0012717011510390284,0.37245086191674565_0.41925755366432277_-0.022102264510582864,0.3949651491774566_0.3822522465105435_-0.04649666055871526
11468,BA_LEFT_CLICK,0,0.2452164174425256_0.8272963011524062_-0.020151431534184156,0.3068000233625565_0.8097836580624178_-0.022644534979936758,0.35893615532932766_0.7377603088585606_-0.02772637388469188,0.3903784367727464_0.6609298986496714_-0.03652382227947629,0.4049194318983171_0.5911125366073998_-0.03513338790197046,0.3483295491368411_0.5983456081847578_0.007020138647546427,0.38008966063926286_0.5196191299414398_0.003493620634981553,0.40229083640835345_0.47536768957616043_-0.005760097671791342,0.42179076254094516_0.44446526763519695_-0.035070318716779604,0.31951884903243544_0.5687173979742406_0.007683936878734721,0.34480222372747266_0.4743699761068324_-0.0008405906807627872,0.36669798182313046_0.41967542350091624_-0.021694241322669176,0.3888472495185095_0.38185000449145484_-0.04646101081238969
11501,BA_LEFT_CLICK,0,0.24112049291989418_0.8294073696343883_-0.019479814806376408,0.3027945165995911_0.8115612790385879_-0.022563041964910255,0.35513988891456993_0.7396667746518509_-0.027860497882854215,0.38646900560754344_0.6628961286784957_-0.037049610580367376,0.40061392886902597_0.5927736261830452_-0.0357729435035298,0.34425306725747096_0.6002738719543004_0.006706071254722322,0.37573271803434427_0.5214735570316126_0.003346342290169843,0.3976592723008924_0.4759914830894562_-0.00589437766412451,0.41674607896586163_0.44424935219829126_-0.03531234561444541,0.3150933740753441_0.570904761732664_0.007596350572760021,0.3400105063798968_0.47617881551071006_-0.0008090178450939334,0.3613161562829368_0.4207148661597418_-0.021732722407653164,0.3828619978989568_0.382005596397119_-0.04661503918065059
11535,BA_LEFT_CLICK,0,0.23707752069204024_0.8308792396711338_-0.018905500979260217,0.29893656414065006_0.8124245107491809_-0.022365108008974253,0.3512520075576661_0.7407814858607019_-0.027994872491273304,0.3823086194697841_0.6640645759774645_-0.03754930976260704,0.3959238489744322_0.5934277375019171_-0.036551402216649834,0.3399962755699691_0.6017463044611759_0.006492560491650936,0.37131014317175337_0.5229550363830415_0.0031984520512635295,0.3929419281861729_0.4764320159412458_-0.005969735849218004,0.4117492966157588_0.4434632701726345_-0.035337771765718624,0.31059000358728645_0.5726374627598495_0.007569738901956968,0.3351782063391165_0.477788482544295_-0.0008203344767091495,0.3560183619617743_0.42173731012215987_-0.021864070742189275,0.3771820276709721_0.3822245075208324_-0.04699550062094869
11568,BA_LEFT_CLICK,0,0.2331048171946921_0.8325858103694144_-0.0178791024573927,0.29490346583774285_0.8141072392717996_-0.021982173522944022,0.34735765701430305_0.7425690172713252_-0.027810252794196622,0.37826738536388277_0.6656476654587905_-0.037831235196026186,0.3913468925378527_0.5951627651434405_-0.037065787081318524,0.33583280226864315_0.6033886660169083_0.006341540623259256,0.3670741128913608_0.5243260790675233_0.002905140623077932,0.3883858969037967_0.47678268388565653_-0.006390362277282424,0.40689639507153774_0.44265975102198823_-0.03578898423300566,0.30615739596484565_0.5743577076155639_0.0074651947288148345,0.33039103347034104_0.47916561717786155_-0.0010085414628027139,0.35079662602419237_0.4224712227429611_-0.022286404072331893,0.3715503799702585_0.38211436858990816_-0.04744080197552635
11601,BA_LEFT_CLICK,0,0.22926099270419426_0.8348107447196343_-0.01704267716712037,0.29070575931112447_0.8162530183995564_-0.021680571953960077,0.3434299858085097_0.7445147417864205_-0.02769699063982202,0.3741410913469839_0.6670443612717565_-0.03817693999674481,0.38654824958020895_0.5966659315094363_-0.0376741005694051,0.33166248028499207_0.6050395122393384_0.006205227520904312,0.36280851626332977_0.5256408874010523_0.002569218718707707,0.38380675118964813_0.4771815692238512_-0.006792954539977032,0.402072248923136_0.44197261368761626_-0.03616289884556438,0.30179704485415193_0.5759645377126295_0.0073984569345659215,0.3257217339513369_0.4805776505072734_-0.0012516536935041952,0.34573568782229885_0.4234845022078882_-0.022666594504584876,0.36611030600753314_0.38242187135393646_-0.04769937190802728
11635,BA_LEFT_CLICK,0,0.22559410667289218_0.8367386786118587_-0.015881178727199866,0.28687888104470954_0.8177105045481363_-0.021214198228127014,0.3397270287411834_0.7463364667003156_-0.02746228966781007,0.37032953639049915_0.6689024367636821_-0.03833226947996268,0.38265917194505095_0.5985502344501028_-0.0378681312970463,0.3278306339186217_0.6065010230719579_0.005993944642417725,0.3588373944277476_0.5267638781718795_0.0021799039790631504,0.3795620091899387_0.47750820556104207_-0.007253476528900876,0.39760921443887803_0.4413881543122146_-0.0367226786669819,0.29768450067900637_0.5774535278103319_0.007259325976450936,0.3213224476049477_0.4815620564142721_-0.0014364234506186334,0.3409347087623252_0.4238994701478108_-0.023032406365291285,0.36089204829761895_0.382298366490803_-0.0481896777422574
11667,BA_LEFT_CLICK,0,0.22217161922350662_0.838996472197806_-0.015064746002714024,0.2838231600821208_0.8188817029129537_-0.020871615335469447,0.3362424727549096_0.7479836158994677_-0.027333570271082776,0.36672398439422915_0.6713519890075034_-0.038373974673058586,0.37967312727466873_0.6009456429586418_-0.037950572647424026,0.3243085554442236_0.6077053746366129_0.005761345515627144,0.3552119243236312_0.5277251417678503_0.0020576701124192217,0.37587623899333894_0.47763059408521674_-0.007076799212756169,0.39373094674260023_0.4409240200394324_-0.036449664811828014,0.2938414713260573_0.5789358408945058_0.007158902782920755,0.3172950975473829_0.48252368630725995_-0.0013742327212569307,0.3366316914941131_0.42430056204583044_-0.022954785840047207,0.3562738107190888_0.38224743705097985_-0.04817975497018074
11701,BA_LEFT_CLICK,0,0.21940606807625404_0.8414446848535817_-0.013997146376260271,0.2820905071497115_0.8204727391347149_-0.020147319376568003,0.3339574918166749_0.7502099365428164_-0.02682566165872261,0.3640307604581171_0.6747053304485564_-0.038057735234185854,0.37691134527600334_0.6039792230690009_-0.03796010695121406,0.3218144564788683_0.6092187325782479_0.005585224660220526,0.35262267852560114_0.5286921592745708_0.002150537416114882,0.3733828473500667_0.47800040937309285_-0.006598743270923625,0.3910450226967383_0.44147302025746754_-0.03587934343460264,0.29061806007361746_0.5809149099745158_0.007037265846112376,0.3138684040209538_0.4831397526403972_-0.0009890043353459985,0.33325993898592465_0.4243409480268621_-0.022422657621966054,0.35281331193815557_0.3823438497472139_-0.047858060882654
