pid,task_type,trial_index,complete_time,is_correct,MenuSelect-menu_length,MenuSelect-target_index,MenuSelect-selected_index,MenuSelect-error_distance,MenuSelect-target_distance,MenuSelect-moving_distance,DragDrop-target_area,DragDrop-dropped_area,DragDrop-error_distance,DragDrop-target_distance,DragDrop-drag_distance,DragDrop-moving_distance,KeyboardInput-target_word,KeyboardInput-entered_word,KeyboardInput-num_key_clicks,KeyboardInput-num_backspaces,KeyboardInput-moving_distance
4,DragDrop,1,11.16207480430603,0,,,,,,,B,None,1087.5890768116421,1087.5890768116421,0.0,998.4731779230056,,,,,
4,DragDrop,2,7.029145002365112,1,,,,,,,A,A,771.9183894687313,771.9183894687313,0.0,768.3763703956272,,,,,
4,DragDrop,3,3.3002207279205322,0,,,,,,,B,None,1088.242620007138,1088.242620007138,0.0,44.24992615489562,,,,,
4,DragDrop,4,3.466157913208008,1,,,,,,,C,C,853.6509825449743,853.6509825449743,0.0,928.2999580490282,,,,,
4,DragDrop,5,8.656017780303955,1,,,,,,,B,B,1077.6497575743244,1077.6497575743244,0.0,1160.3494257612983,,,,,
4,KeyboardInput,1,76.37254905700684,1,,,,,,,,,,,,,PRACTICE,PRACTICE,19,5,10353.673917816257
4,KeyboardInput,2,113.58879113197327,1,,,,,,,,,,,,,ALGORITHM,ALGORITHM,22,6,13976.148454170776
4,KeyboardInput,3,73.4340968132019,1,,,,,,,,,,,,,NETWORK,NETWORK,22,7,13488.19046735743
4,KeyboardInput,4,75.86529994010925,1,,,,,,,,,,,,,EDUCATION,EDUCATION,16,3,11745.653818598299
4,KeyboardInput,5,0.2346339225769043,0,,,,,,,,,,,,,LANGUAGE,,1,0,5.5373191879907555
4,MenuSelect,1,1.2637982368469238,0,6,0,,117.881296226331,111.68258592994702,119.275399939955413,,,,,,,,,,,
4,MenuSelect,2,5.198554754257202,0,6,5,,67.5178243810938,339.31254029286924,404.31776767330224,,,,,,,,,,,
4,MenuSelect,3,1.1283848285675049,0,6,1,,93.0061871468365,139.8177385026664,400.72493248801015,,,,,,,,,,,
4,MenuSelect,4,9.004020929336548,0,6,5,1,108.3000496255515,339.31254029286924,801.8856625442332,,,,,,,,,,,
4,MenuSelect,5,2.991473913192749,0,6,0,,39.56008088970496,111.68258592994702,196.52923206500003,,,,,,,,,,,
