timestamp,task,trail,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP
-1,BA_LEFT_CLICK,0,,,,,,,,,,,,,
8511,BA_LEFT_CLICK,0,0.2450363188000117_0.86619995848528_-0.05109615877455279,0.31341116531528534_0.8325932552370422_-0.03414421043181291,0.3648957705357859_0.7552402605132674_-0.019039347543403144,0.39677337420003067_0.6849946020766091_0.0023643249621601086,0.412478894628326_0.6199174820453953_0.024141354491535635,0.32963750581698986_0.6164454044446459_0.016190798072355586,0.3659333214608787_0.5433074757046216_0.01430255462371821,0.39460714375424855_0.5125939586685054_0.0035939022573408135,0.4199725730007379_0.48902873033046435_-0.024679373536221426,0.3056253088994716_0.5892627638155079_0.009923291158537592,0.3415655429988845_0.5038022096418374_0.0016345102412415945,0.37305367247181814_0.4621404247000156_-0.01900947324380972,0.40281607812823406_0.43844964863648156_-0.041398805680858464
8543,BA_LEFT_CLICK,0,0.24537288538707053_0.8668158675526894_-0.05027392262368048,0.314082709183991_0.8325684253337379_-0.03339121400422947,0.36582520769907556_0.7553677192939452_-0.018039104162919234,0.3974824656010981_0.6860685299812946_0.0033680681864906295,0.41359485438445404_0.6221174358583317_0.025558058921673944,0.32983567174877626_0.615593598011741_0.016358095447888056,0.36588020924313536_0.5419015824466319_0.014518483794876058,0.39435650877514267_0.5107703239858908_0.003950318072046968,0.41950530153794996_0.48688979811477434_-0.024293525186151063,0.30571864592901027_0.5888635835308914_0.0098997602229202,0.3414794692063128_0.5033406015605159_0.0015771582780610247,0.3731149753405069_0.4617052723180722_-0.018972818906670397,0.4029082704081659_0.4383533697270564_-0.041275892498483166
8577,BA_LEFT_CLICK,0,0.2455759149161399_0.8673387666778021_-0.0500444690716159,0.31475087184166917_0.8318499949743268_-0.03310029732471384,0.3665304674059035_0.7551404541026061_-0.017635533666028748,0.3981522885132882_0.6865693768643693_0.0037266058310261524,0.41442555587275187_0.6232214140301408_0.026058194640619797,0.3295511035649451_0.6154758816747736_0.01640687081469701,0.3654772246168746_0.5411986779903866_0.014702775531727568,0.3938309587825043_0.509272434802116_0.004441982308074739,0.4187159684680614_0.48448036604728517_-0.02380264851806148,0.30536649861233356_0.58902782370719_0.009836565031797426,0.3409818799228505_0.5033856389022213_0.0016653037117585123,0.37271855636226453_0.46128836665244666_-0.0186938786352202,0.4024619200622658_0.43752953616326745_-0.04097022719573172
8611,BA_LEFT_CLICK,0,0.24594738394955162_0.8673476020682853_-0.049663364516249635,0.31497964802150735_0.8315099141732787_-0.03286999585060817,0.3672163640141394_0.7549546484383349_-0.01735888874961072,0.3988177273407819_0.6866950743026221_0.003938416050624145,0.4153519125841726_0.6240732087616493_0.02636420834330181,0.32958637702691335_0.6149250178169308_0.01635181262694682,0.3653507216204559_0.5403069791583615_0.014618150157704748,0.3933916241159998_0.5077502794991025_0.004361586411034986,0.4180037436789444_0.4824173747985062_-0.0239923247961806,0.3053222397033129_0.5887834324047778_0.009823211862993828,0.3406204891944755_0.5030213639812742_0.0015128063000571395,0.3721047509812301_0.46069956138683776_-0.018834915267986037,0.4017337174253162_0.43650317953066586_-0.04107795244368865
8644,BA_LEFT_CLICK,0,0.24602935362608724_0.8670330675593219_-0.04971317917231825,0.31492571070007336_0.8312156527627258_-0.032920473292100766,0.36731160320281236_0.7560876825835232_-0.017281014374360512,0.3992692127812102_0.6888351959090777_0.00414368065734807,0.4158801020831004_0.6271166812518731_0.026811764504650913,0.329458288576029_0.6148896859988449_0.016253861871185982,0.3653669463339929_0.5402020523856796_0.014779264639198621,0.3932349980061025_0.506906383667794_0.004718541911630571,0.41754687292624876_0.48058558698403814_-0.02355900450695409,0.3051949818184975_0.5887226735437563_0.009781566950164312,0.3405259380932513_0.5030875242294529_0.0016783724695310328,0.37183849367324395_0.46001634848080813_-0.018529261853346808,0.40129185804021333_0.4347752870403653_-0.040755381869578
8678,BA_LEFT_CLICK,0,0.24618824043871163_0.8667357947151821_-0.049544264138731225,0.31499368774264536_0.8310846948137879_-0.03279980647534397,0.367400603591913_0.7572189982244114_-0.017101368229758794,0.39959798216725945_0.6906385479053933_0.004469622095744637,0.4165548647761453_0.6286318430216706_0.027242443653853483,0.3296658275332628_0.6148626364791296_0.0161924386714483,0.3656387056305794_0.5402844317683154_0.014869113691949718,0.3933601498750664_0.5066667266165472_0.004912784545730544,0.4174443818191637_0.4797183787497519_-0.02342200761357032,0.3054102126162055_0.5886739949293655_0.009761852054780385,0.34075082979169397_0.5033977418376334_0.0017691170549285677,0.3719424712882351_0.45994606695145557_-0.018417949542243947,0.40128090054426174_0.434201623303328_-0.04071033750955553
8711,BA_LEFT_CLICK,0,0.24596623952389718_0.8660248824533591_-0.04913152645905246,0.31534907879328317_0.8306728572456836_-0.03256224247193549,0.3676596240993452_0.7579726072556767_-0.016911332544622466,0.4000453310005312_0.6924724624698224_0.004682567851003669,0.4173543962097255_0.6305603487421352_0.02744280333750387,0.330227740828719_0.6149945861120146_0.016077343101865826,0.3662216623937915_0.5403396779639382_0.014950137776775261,0.39380475641471685_0.5065131241063482_0.0052280591719237905,0.4176987319834987_0.4791038326956939_-0.02299923835451669,0.30582534578647635_0.5888320334679065_0.00971723782339546,0.3411481153294795_0.5036867927895647_0.0020344994764242385,0.37226123477823825_0.4598898894116894_-0.018175660621992485,0.40146908021476735_0.43402068241646613_-0.0406940997042997
8744,BA_LEFT_CLICK,0,0.24585565825463107_0.8653804070613201_-0.04818000259700958,0.31575933624820385_0.8304797626184464_-0.03196425261001757,0.36782709016769033_0.7593343808179692_-0.016426513383338965,0.40030530943810505_0.694936267228513_0.00488861124615404,0.41790889996338587_0.6328959904614511_0.027377412998143356,0.3308572596109122_0.615410531045526_0.016042178651147508,0.36676014942453944_0.5409554000173298_0.014954920266185683,0.3941097538565202_0.5067524237617022_0.0055628924006532,0.4177390265185007_0.47881706893746945_-0.022437450395069652,0.3063487474696352_0.5891872030835292_0.009720743942807936,0.34155783624055813_0.5040844735611806_0.0023299851855209525,0.3725279400015457_0.45977871469860204_-0.017652916154759515,0.40157248263761897_0.4333662861522891_-0.04013962510416852
8779,BA_LEFT_CLICK,0,0.24602550784874577_0.8645809059827659_-0.047544234893350155,0.31600856009734846_0.8306278400935364_-0.03174225606044906,0.3679619392106446_0.7610033713917411_-0.016254814298590117,0.4005435296244587_0.697202532841038_0.004863626030290389,0.41858195700684153_0.6350409024956563_0.027400503582528053,0.3315082650022674_0.6158024624836681_0.01590281662778332,0.367289733747853_0.541401021120889_0.014933688465050447,0.39426629987514844_0.5065741716372304_0.005785602504754891,0.41754249951985434_0.4781459696317108_-0.02189222940289349,0.3069294086755525_0.5893235430988425_0.009769645207962054,0.34181722260000574_0.5039460704413518_0.0025258604757444902,0.37241550519184935_0.45898707192901717_-0.017169270210661405,0.4011633112844269_0.43191456984971827_-0.03961624076517381
