Start training script: Fri Nov 21 22:16:28 2025
[Epoch 9/200]Train Loss: 0.5529 Acc: 0.7954 | Val Loss: 0.5527 Acc: 0.7951
[Epoch 10/200]Train Loss: 0.5314 Acc: 0.8009 | Val Loss: 0.5218 Acc: 0.8168
[Epoch 11/200]Train Loss: 0.5212 Acc: 0.8071 | Val Loss: 0.5501 Acc: 0.7945
[Epoch 12/200]Train Loss: 0.5060 Acc: 0.8114 | Val Loss: 0.5056 Acc: 0.8114
[Epoch 13/200]Train Loss: 0.4838 Acc: 0.8216 | Val Loss: 0.4714 Acc: 0.8216
[Epoch 14/200]Train Loss: 0.4746 Acc: 0.8259 | Val Loss: 0.4881 Acc: 0.8204
[Epoch 15/200]Train Loss: 0.4571 Acc: 0.8261 | Val Loss: 0.4627 Acc: 0.8213
[Epoch 16/200]Train Loss: 0.4530 Acc: 0.8303 | Val Loss: 0.4479 Acc: 0.8323
[Epoch 17/200]Train Loss: 0.4345 Acc: 0.8388 | Val Loss: 0.4767 Acc: 0.8272
[Epoch 18/200]Train Loss: 0.4215 Acc: 0.8430 | Val Loss: 0.4259 Acc: 0.8460
[Epoch 19/200]Train Loss: 0.4163 Acc: 0.8459 | Val Loss: 0.4240 Acc: 0.8421
[Epoch 20/200]Train Loss: 0.4045 Acc: 0.8467 | Val Loss: 0.4098 Acc: 0.8505
[Epoch 21/200]Train Loss: 0.3920 Acc: 0.8540 | Val Loss: 0.4182 Acc: 0.8448
[Epoch 22/200]Train Loss: 0.3851 Acc: 0.8551 | Val Loss: 0.4047 Acc: 0.8564
[Epoch 23/200]Train Loss: 0.3736 Acc: 0.8585 | Val Loss: 0.3973 Acc: 0.8531
[Epoch 24/200]Train Loss: 0.3762 Acc: 0.8577 | Val Loss: 0.3941 Acc: 0.8508
[Epoch 25/200]Train Loss: 0.3580 Acc: 0.8675 | Val Loss: 0.3947 Acc: 0.8475
[Epoch 26/200]Train Loss: 0.3595 Acc: 0.8655 | Val Loss: 0.3851 Acc: 0.8627
[Epoch 27/200]Train Loss: 0.3539 Acc: 0.8651 | Val Loss: 0.3842 Acc: 0.8600
[Epoch 28/200]Train Loss: 0.3447 Acc: 0.8732 | Val Loss: 0.3810 Acc: 0.8472
[Epoch 29/200]Train Loss: 0.3421 Acc: 0.8698 | Val Loss: 0.3714 Acc: 0.8612
[Epoch 30/200]Train Loss: 0.3346 Acc: 0.8750 | Val Loss: 0.3763 Acc: 0.8639
[Epoch 31/200]Train Loss: 0.3295 Acc: 0.8753 | Val Loss: 0.3337 Acc: 0.8791
[Epoch 32/200]Train Loss: 0.3283 Acc: 0.8747 | Val Loss: 0.3639 Acc: 0.8594
[Epoch 33/200]Train Loss: 0.3234 Acc: 0.8770 | Val Loss: 0.4014 Acc: 0.8433
[Epoch 34/200]Train Loss: 0.3191 Acc: 0.8791 | Val Loss: 0.3944 Acc: 0.8603
[Epoch 35/200]Train Loss: 0.3164 Acc: 0.8799 | Val Loss: 0.4186 Acc: 0.8350
[Epoch 36/200]Train Loss: 0.3174 Acc: 0.8786 | Val Loss: 0.3238 Acc: 0.8767
[Epoch 37/200]Train Loss: 0.3000 Acc: 0.8850 | Val Loss: 0.3172 Acc: 0.8862
[Epoch 38/200]Train Loss: 0.3047 Acc: 0.8817 | Val Loss: 0.3359 Acc: 0.8791
[Epoch 39/200]Train Loss: 0.2990 Acc: 0.8863 | Val Loss: 0.3416 Acc: 0.8716
[Epoch 40/200]Train Loss: 0.2912 Acc: 0.8884 | Val Loss: 0.3118 Acc: 0.8808
[Epoch 41/200]Train Loss: 0.2968 Acc: 0.8856 | Val Loss: 0.3287 Acc: 0.8773
[Epoch 42/200]Train Loss: 0.2937 Acc: 0.8872 | Val Loss: 0.3275 Acc: 0.8698
[Epoch 43/200]Train Loss: 0.2868 Acc: 0.8899 | Val Loss: 0.3095 Acc: 0.8811
[Epoch 44/200]Train Loss: 0.2806 Acc: 0.8910 | Val Loss: 0.3115 Acc: 0.8800
[Epoch 45/200]Train Loss: 0.2782 Acc: 0.8916 | Val Loss: 0.2951 Acc: 0.8907
[Epoch 46/200]Train Loss: 0.2784 Acc: 0.8941 | Val Loss: 0.3011 Acc: 0.8919
[Epoch 47/200]Train Loss: 0.2751 Acc: 0.8943 | Val Loss: 0.3081 Acc: 0.8829
[Epoch 48/200]Train Loss: 0.2798 Acc: 0.8944 | Val Loss: 0.3651 Acc: 0.8609
[Epoch 49/200]Train Loss: 0.2755 Acc: 0.8912 | Val Loss: 0.3107 Acc: 0.8841
[Epoch 50/200]Train Loss: 0.2595 Acc: 0.8995 | Val Loss: 0.2892 Acc: 0.8871
[Epoch 51/200]Train Loss: 0.2617 Acc: 0.8992 | Val Loss: 0.3248 Acc: 0.8776
[Epoch 52/200]Train Loss: 0.2600 Acc: 0.9001 | Val Loss: 0.2915 Acc: 0.8954
[Epoch 53/200]Train Loss: 0.2609 Acc: 0.8994 | Val Loss: 0.2841 Acc: 0.8975
[Epoch 54/200]Train Loss: 0.2623 Acc: 0.8989 | Val Loss: 0.3032 Acc: 0.8856
[Epoch 55/200]Train Loss: 0.2563 Acc: 0.8995 | Val Loss: 0.2740 Acc: 0.9005
[Epoch 56/200]Train Loss: 0.2511 Acc: 0.9041 | Val Loss: 0.2917 Acc: 0.8877
[Epoch 57/200]Train Loss: 0.2529 Acc: 0.9021 | Val Loss: 0.3071 Acc: 0.8803
[Epoch 58/200]Train Loss: 0.2478 Acc: 0.9054 | Val Loss: 0.2735 Acc: 0.8948
[Epoch 59/200]Train Loss: 0.2444 Acc: 0.9058 | Val Loss: 0.2744 Acc: 0.8916
[Epoch 60/200]Train Loss: 0.2470 Acc: 0.9050 | Val Loss: 0.2711 Acc: 0.8993
[Epoch 61/200]Train Loss: 0.2429 Acc: 0.9068 | Val Loss: 0.2710 Acc: 0.8996
[Epoch 62/200]Train Loss: 0.2379 Acc: 0.9099 | Val Loss: 0.2551 Acc: 0.9050
[Epoch 63/200]Train Loss: 0.2442 Acc: 0.9050 | Val Loss: 0.2756 Acc: 0.8913
[Epoch 64/200]Train Loss: 0.2433 Acc: 0.9079 | Val Loss: 0.2573 Acc: 0.9014
[Epoch 65/200]Train Loss: 0.2328 Acc: 0.9097 | Val Loss: 0.2626 Acc: 0.8987
[Epoch 66/200]Train Loss: 0.2378 Acc: 0.9075 | Val Loss: 0.2522 Acc: 0.9017
