timestamp,task,trail,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP
-1,BA_LEFT_CLICK,0,,,,,,,,,,,,,
4363,BA_LEFT_CLICK,0,0.25989971092130837_0.7217503176753295_-0.02418211652358069,0.32495144178988566_0.724365909442011_-0.024149084328869946,0.3913358308708903_0.6819965430531882_-0.013150863925361135,0.43883646573975643_0.6347641452786938_0.0027145702223663093,0.47584455920530383_0.5984371765419731_0.025986586528969267,0.3718016273637718_0.4969315892378363_0.010050777317439728,0.4039782746259835_0.4105045062284188_0.007158390572451047,0.4254032478648598_0.3612247377051367_-0.0011966430370063425,0.44623946819806093_0.32442391563500794_-0.02973398580849864,0.34191114165410375_0.4639822515967179_0.008357444259708125,0.36415149039943645_0.3669492991225828_-0.005051874168420844,0.3856218581119165_0.3245195357203812_-0.031210939696827814,0.4075361350355691_0.30254530069109326_-0.05784568911464609
4394,BA_LEFT_CLICK,0,0.2632473749382186_0.7218666066030321_-0.023275342512287252,0.3283258809290094_0.7246340549347429_-0.023407803367980297,0.394887936738033_0.6830612332371062_-0.01253366516410788,0.4424259447761771_0.6361173832128537_0.003013242469683056,0.4793995357614599_0.5996466886174592_0.02612471939559973,0.3753939192978626_0.49627011942226673_0.01014042941439566,0.4077005754808161_0.40952969884717594_0.007114435248202079,0.4293784762158533_0.36049633379089463_-0.0011001711169124318,0.45049409607334134_0.32422167578574684_-0.029656919953828638,0.34547450906455496_0.46305904174826057_0.00826577539995114,0.3680419486118923_0.365559501763734_-0.005071309644146771,0.3898746529991615_0.32295645937922246_-0.03133838573010706,0.41212747169956737_0.3008969657172881_-0.05779478232599574
4430,BA_LEFT_CLICK,0,0.2668482098947277_0.7219493142207192_-0.02205447310460214,0.3320357428901802_0.7246501236246131_-0.02256976029587426,0.39864064266435223_0.6839838910696655_-0.012029850851531665,0.44627807805604913_0.6374169106253063_0.0028705361973879857,0.48337186273430527_0.6009190568265845_0.025619918000191026,0.3791231450627713_0.49564272107568574_0.010103237014678454,0.41185662117795735_0.40858398513670074_0.006953879207472797,0.433889523326122_0.3597077123745889_-0.0012006318135452806,0.45530791909919743_0.32377756054589485_-0.029732940588478717,0.34911884479856475_0.4621544689733308_0.00812455360197862,0.372145093389636_0.3639677749606393_-0.0051009127999655495,0.39439439255199343_0.32046737802507597_-0.03136245865751858,0.41694333492458_0.2975131696502465_-0.05762661322384896
4463,BA_LEFT_CLICK,0,0.2705479589279739_0.7217785160890998_-0.021451918913941416,0.3360323132605084_0.7246909808386249_-0.02225851832876713,0.4025930186919524_0.6845672598360181_-0.012104485925861868,0.4502748709493254_0.6380089493567208_0.0022164633664797247,0.4875813555438896_0.6018791229675238_0.024521310243200915,0.3828085312994694_0.495272546544768_0.010008034214709072,0.4159454402700789_0.4079656850232705_0.006824772763332364,0.4383127988805479_0.358920728558271_-0.0012840908716831637,0.45999192262829597_0.3228561553588656_-0.029764383927253467,0.3528214761665343_0.4615437794366298_0.00804745294434897,0.3763551409310386_0.36248541963358105_-0.004958581487759916,0.39886190476577693_0.31731232033159035_-0.031118568453228915,0.42153870533895604_0.29254523325285103_-0.057082653637169384
4497,BA_LEFT_CLICK,0,0.27450877644032223_0.7214565786641265_-0.02090067754906085,0.34016169083362646_0.7245885548010574_-0.021975842170318848,0.40669323371348015_0.6850492494009495_-0.011987886426312665,0.45437386127896107_0.6385817624707587_0.0019716631009825468,0.4917596921697919_0.6025906706770281_0.024001089027080265,0.3865767796637516_0.4947754915834249_0.009972307765749191,0.42009601572161737_0.4073167523490608_0.006712612476412963,0.4427634717170482_0.3581379992913952_-0.0013788275977543222,0.46463981123877574_0.32186180140424947_-0.029830303704951273,0.3565169866125487_0.46073584227870445_0.007958264502152378,0.3804067607932318_0.3606251088163009_-0.004800112792193864,0.4029426732266841_0.3131558877308027_-0.030798025765447972,0.4255036729255685_0.2858852955366833_-0.056363007899473974
4530,BA_LEFT_CLICK,0,0.27863776856589306_0.7214984347757837_-0.021205012227866384,0.34476210055546624_0.724578389884242_-0.022188431662242325,0.4111847509264726_0.6853785742682267_-0.01217527913845614,0.4586912651267608_0.6389996010128314_0.0018155970680434229,0.4961817300618223_0.603517500950497_0.023810837499740386,0.3904250983239731_0.4947748920345927_0.010011319763872699,0.4240223692179189_0.40730214760678773_0.006620947095922241,0.4468348337129025_0.3580360089263718_-0.0014788864998476685,0.46888357283364146_0.32141278811970697_-0.029924616747072592,0.36037144623126216_0.46024224733599456_0.007960820155155321,0.3845616528362456_0.35912393787548946_-0.004500779408884028,0.4071985609217404_0.3100667581620897_-0.030267124146961498,0.4297306074841316_0.2810665120812784_-0.05542068400092989
4563,BA_LEFT_CLICK,0,0.282854558419609_0.7215571801135652_-0.02175855972430971,0.34956622026599776_0.724542005349166_-0.022461972448762826,0.4157955351924721_0.6859343591818848_-0.012332572363194112,0.4632739630863635_0.6395964422276541_0.0016809020247235873,0.5009690671205944_0.6044543849576327_0.023791468208982678,0.39439429432881046_0.49499093222813806_0.01009592469327742,0.4280714334106816_0.4077928654033166_0.006638124444621094,0.4510608206522678_0.3585163990276178_-0.0014778944014276648,0.4732926538124912_0.321561903784111_-0.030008110827582087,0.36432642191192016_0.45992794494063405_0.007987402047166555,0.38876949143174677_0.3581082404378733_-0.004179514267978652,0.4115500431763267_0.30792456751371106_-0.029689181662196577,0.4341587173258063_0.2775404016282186_-0.05454122597462392
4596,BA_LEFT_CLICK,0,0.28702455273582456_0.7216188272054762_-0.022170710270101764,0.3543423823693381_0.7244212257774407_-0.022758045247027535,0.420348394191728_0.6865141823680909_-0.012628688472411064,0.4677107499063467_0.6401362258951604_0.0013265749856770021,0.5055716275406222_0.6053664817133596_0.023440088682138233,0.39850358439073696_0.49502057018436596_0.010074297037069753,0.4322192741279899_0.40841573410655835_0.006632369644274146,0.4551283033952884_0.3589795978559749_-0.0014589622842284507,0.4772251288521475_0.3214290984705567_-0.030092023055853057,0.36831450819604006_0.4595297265865862_0.007991632180769705,0.3929935983162196_0.3573479199984615_-0.003946437890480029,0.4156239375676422_0.30588951615734644_-0.029307535343642763,0.43803717273988696_0.2738160797044456_-0.05392899473100071
4630,BA_LEFT_CLICK,0,0.2913703045154724_0.7216809241148449_-0.022460224393602162,0.35913598832917104_0.7242431344915815_-0.022861654322011676,0.4248435404113658_0.6866933333708216_-0.012563627209584736,0.4722026599264507_0.6403787127145719_0.0015044175422143924,0.5101189088211331_0.6059067713196318_0.023685505670518327,0.40261361418235886_0.4952854826653609_0.010155741927103007,0.43633842451136107_0.4093917245342396_0.006757449119750524,0.45916678804284516_0.359841239586965_-0.001211460548799234,0.48106653415586054_0.32190045899037356_-0.02978258112359175,0.3723267106980674_0.4594324281866121_0.007985039960232945,0.3971581034931399_0.3565932507975058_-0.003527852459867849,0.4195541000529694_0.30382215903793774_-0.02864522967996258,0.44163627686912516_0.2701223677861547_-0.05286927012275987
