pid,task_type,trial_index,complete_time,is_correct,MenuSelect-menu_length,MenuSelect-target_index,MenuSelect-selected_index,MenuSelect-error_distance,MenuSelect-target_distance,MenuSelect-moving_distance,DragDrop-target_area,DragDrop-dropped_area,DragDrop-error_distance,DragDrop-target_distance,DragDrop-drag_distance,DragDrop-moving_distance,KeyboardInput-target_word,KeyboardInput-entered_word,KeyboardInput-num_key_clicks,KeyboardInput-num_backspaces,KeyboardInput-moving_distance
0,MenuSelect,1,34.18963289260864,0,6,4,,211.91434843010663,284.8596145472362,6295.033420959643,,,,,,,,,,,
0,MenuSelect,2,1.681649923324585,0,6,5,1,253.6695690749251,339.31254029286924,92.32055243442025,,,,,,,,,,,
0,MenuSelect,3,2.0393831729888916,0,6,4,0,232.02676937619358,284.8596145472362,54.50485191020253,,,,,,,,,,,
0,MenuSelect,4,9.574499130249023,0,6,5,,349.91216100081425,339.31254029286924,72.62638738826915,,,,,,,,,,,
0,MenuSelect,5,4.372170686721802,0,6,3,1,117.3994958116145,232.13142829009604,116.15287084579964,,,,,,,,,,,
0,DragDrop,1,7.779645919799805,0,,,,,,,B,A,1015.9532469557839,1020.905970204896,5.0990195135927845,608.4406526163298,,,,,
0,DragDrop,2,27.211872100830078,0,,,,,,,D,C,1123.3970802881765,1128.6921635237838,6.082762530298219,695.5694891840495,,,,,
0,DragDrop,3,1.3073351383209229,0,,,,,,,A,None,717.4517405372991,723.6663595884502,6.324555320336759,506.5881791871771,,,,,
0,DragDrop,4,1.5050549507141113,0,,,,,,,B,None,957.5808059897608,960.5758689452905,3.0,394.84440915742533,,,,,
0,DragDrop,5,5.078948736190796,0,,,,,,,D,None,1099.928179473551,1105.6364682842186,5.830951894845301,376.1164875001276,,,,,
0,KeyboardInput,1,21.408761978149414,0,,,,,,,,,,,,,TYPING,FHT,4,0,887.226873290678
