timestamp,task,trail,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP
-1,BA_LEFT_CLICK,0,,,,,,,,,,,,,
3659,BA_LEFT_CLICK,0,0.27078582257534045_0.7858894181656797_-0.021128054102423806,0.32763549234595424_0.7877686862991489_-0.0182160211991896,0.3877117995873939_0.753555403079229_-0.0060728262742919675,0.4297747885218054_0.716753067684081_0.011132648695352812,0.46128177097010986_0.6882935858723166_0.0344978319908975,0.3682394397451985_0.5660507362618017_0.014472014834653936,0.40137323855568735_0.4902722668213617_0.010254677191199033,0.4242046034811224_0.45150333092940237_0.0006992362659474405,0.4465731249639939_0.4238365803161771_-0.02733124909446104,0.34245275501550554_0.534672943872317_0.00859701387789195,0.3665441543960435_0.43758665194621843_-0.0016888440485372824,0.38929647355541996_0.39202306963619793_-0.025071572268612365,0.4118268949112554_0.36687043234294586_-0.04568702756670083
3696,BA_LEFT_CLICK,0,0.2730600826780397_0.7869466553058593_-0.021106038502981678,0.32996461030742746_0.7886801675833255_-0.018182238808602477,0.39015569007045836_0.7546666510308881_-0.006157505184854107,0.43234752218173267_0.7178414123152945_0.010863474395945184,0.46394412080898584_0.6887931662366106_0.034142986719274404,0.3704552052175608_0.567123149357952_0.014425791506108922,0.4038355419572971_0.4912427947173891_0.010220917904234862,0.4268916612051555_0.4523684457646401_0.000784866678420718,0.44952147733287423_0.42446274073914775_-0.027150407623413912,0.34473559692813016_0.5357271417952414_0.00858042118117289,0.3690381503982435_0.4385214461526169_-0.0016578096815407025,0.391804827445868_0.3920938952574508_-0.02485821525621985,0.41445083120038195_0.3658429318633551_-0.045358461374497144
3727,BA_LEFT_CLICK,0,0.2755251401933351_0.7885966547271703_-0.021420072227422725,0.3324390072576302_0.7897467506628824_-0.018203593986296958,0.39243008069711377_0.7554690796061436_-0.006220020985957016,0.43468149980105025_0.7183595027045611_0.010797653207838149,0.46628616341316464_0.6888014545095217_0.033885440853805446,0.3725020049218819_0.5682549989404022_0.014534997704932915,0.405877279801113_0.4922430265148781_0.010379844183808117,0.4290834240263803_0.4533472955788447_0.0010518015763791525,0.45186377391112975_0.42533517290748035_-0.026849357935717674,0.3469114695812309_0.5369985091667839_0.008612896196365964,0.37165203745230757_0.43986448157953373_-0.0015343305403756895,0.3947172627402332_0.3926320659168066_-0.024557037197499076,0.41764984686032997_0.3652663893673321_-0.044863680787448665
3763,BA_LEFT_CLICK,0,0.27806145741719557_0.7901203233354168_-0.020883915889028177,0.3350239589970984_0.7905792270264302_-0.01764635906383539,0.3948697199226813_0.7563346114098295_-0.005898830800339405,0.43705305640059366_0.7191800018561842_0.010673242695855786,0.46858269841165356_0.6884626285276613_0.033287801645255966,0.37463949189221746_0.5693112306739283_0.014513131191976728,0.4080575903756957_0.49306264902753055_0.010369218011765123,0.4313408273177229_0.4540963769408285_0.0011061685853506822,0.4542846387616247_0.42601541010218363_-0.026865995349829176,0.3490963355561133_0.5383729209885175_0.008551540316498765,0.37388028546225804_0.44096511808337496_-0.0016943088718070825,0.3969334793530295_0.39318704502165336_-0.024612022871135553,0.41998212662423506_0.36520404157427955_-0.044980948001197646
3794,BA_LEFT_CLICK,0,0.2803109351331278_0.7915152230543199_-0.020824272885134592,0.33736134530398676_0.791464279028676_-0.01737368536603566,0.39705619611751214_0.7572931596707714_-0.005750540899503092,0.43917533305611334_0.7200361125002673_0.010530962854804746,0.4705900619084916_0.6881991852157753_0.03295546535814355,0.37657603276281265_0.5703034752961312_0.014549487797934106,0.4100899855695996_0.49407748290381764_0.010506286517833426,0.43354214332237906_0.4551500022770738_0.0013261053521081369,0.4566541914933086_0.4271197702700099_-0.026734159775451644,0.3511709690777489_0.5395364062297484_0.008526249973063858,0.376145705334757_0.441947765805735_-0.0017480494815360899,0.39931124309240895_0.3937837950100901_-0.024486108370112485,0.4225299646622726_0.36538486907790513_-0.044856912756007256
3830,BA_LEFT_CLICK,0,0.2824511340089071_0.7930862242923024_-0.021169382893411935,0.33958766032293186_0.7923987109922584_-0.017239188115693062,0.3991242798043186_0.7579916079101097_-0.005529400910749324,0.4412863218571832_0.7207653826340334_0.010787999081756395,0.4725813324972218_0.6881911698050055_0.03320654443235835,0.37823270283149646_0.5711087508484773_0.014735401843800776,0.411891759268668_0.4951347244459942_0.010850934124831164,0.4356636432944542_0.4565063429166297_0.0017760930803334366,0.4590496067041684_0.428796691593663_-0.02633337488800353,0.3530358410428388_0.5406020678129309_0.008528844228355243,0.3783223567425523_0.44297656429482607_-0.0016598089328011985,0.4017052102847029_0.39462896161956806_-0.024114102619876156,0.42514185827309203_0.3659860013318889_-0.04431499788287587
3861,BA_LEFT_CLICK,0,0.284524318442935_0.7942794152057842_-0.021938431114648677,0.34168439641821186_0.7932089368075703_-0.017550694414692664,0.40116888895614106_0.75863558922268_-0.005634153648864658,0.4434148819276564_0.7211315040480533_0.01090078041803497,0.47449708427780674_0.6878563239627483_0.03350272743965499,0.379722178157226_0.5720054804074807_0.01487934533740253,0.413632441228411_0.49624706369070654_0.01119867399282758,0.4377063535164838_0.4578295121422943_0.002253923135750743,0.46127935201601417_0.4303087575412879_-0.025793653714895778,0.3547146885832487_0.54161507662507_0.008545906289194547,0.3803214441155842_0.4438840092235653_-0.0014738159410636518,0.40375120431289113_0.39529405016647357_-0.023639218904963885,0.4271656530804182_0.3664077376042074_-0.043686040235545696
3897,BA_LEFT_CLICK,0,0.2864119504818871_0.7951780945425571_-0.022092559218958932,0.34348469603242715_0.7938234289145927_-0.01752597438789808,0.40283246529088945_0.7587685296857918_-0.005574135791978385,0.4450642824990648_0.7209848288449795_0.010991021878335143,0.47600096818442195_0.6871819912952902_0.03357627367230505,0.3812512339560634_0.572497343920711_0.01498729244061447,0.41517206125718864_0.49664005288623525_0.011374590277254617,0.4393374222525791_0.4585052545731494_0.0025122139893001333,0.46297413468898324_0.43117560014542655_-0.025487839272213406,0.3563041900984716_0.5422960343072583_0.008571276446203013,0.3821278580359977_0.44471683033417453_-0.0015200404947980956,0.4055757005223039_0.39594157520092793_-0.023520240206235055,0.4289729680781957_0.3667057279518657_-0.04353137651521878
3928,BA_LEFT_CLICK,0,0.28797634998397464_0.7959608984283877_-0.021995610619033112,0.34490094485427736_0.7943668547993072_-0.01731380798417253,0.4041640892981413_0.758933854891822_-0.005294840583579657,0.4463563848195949_0.7209891536834361_0.011403220801999781,0.4771433918208683_0.6868989085803606_0.03405564526917339,0.38244860421883636_0.5728138016883877_0.015085220874851044,0.4165269898832839_0.4966840537320992_0.011516876005792648,0.4407647767073978_0.458609709411083_0.0027656296127657907,0.4644450752778132_0.43128004324767366_-0.02516144590822254,0.35757799668250656_0.5427782513387815_0.008564302515502468,0.3834380025333056_0.4450405810523891_-0.0015428893666255248,0.40689236555166275_0.39613895800238663_-0.023419171288580422,0.4302976676754472_0.3667162933962673_-0.04333965452066196
3961,BA_LEFT_CLICK,0,0.28932473905433365_0.7966096482509195_-0.02182937194859563,0.34616013290521147_0.7948275473694141_-0.01715453547635017,0.405272440938864_0.7589513284317376_-0.005053597529234026,0.44736934810149503_0.7209070451261617_0.01181998335079401,0.4778734146381064_0.686828999968384_0.03455753823281765,0.38332884153737684_0.5728602232316611_0.015188500715498206,0.41749410171993584_0.49625989333243536_0.011577383763523127,0.44180254883822356_0.45826909086642137_0.0028292791433033003,0.4655398057972018_0.43096575460698905_-0.02507265122530774,0.3584896224589203_0.5430219870955004_0.008577599975677884,0.3843924851946743_0.4449483493366928_-0.0016290968975057423,0.40782613661819483_0.3958787495813832_-0.02350296206471978,0.4312106807178114_0.36628078651564366_-0.043328520429540746
3997,BA_LEFT_CLICK,0,0.2900988705758186_0.7963646715350008_-0.021490439513966075,0.3467355761689873_0.7947789642795035_-0.017062524119204982,0.4058040275801928_0.7583785949032882_-0.005038654080630569,0.44770056294813027_0.7203120571138077_0.011967873932965988,0.4780897795219933_0.6866502040640626_0.034788887303363804,0.38400399200927465_0.5721947528345965_0.015184827493194006,0.4182035254612606_0.4951180540359129_0.011535401016021749,0.44259153204962853_0.45716592185924426_0.0027721355467555248,0.4663813890675405_0.4298960770914293_-0.02508175690410865,0.35908040784605777_0.542544384968301_0.008589687268008833,0.3850359679645468_0.4442772419769837_-0.0017020176903907633,0.408344659065674_0.39537747700389747_-0.023653943357449046,0.4315492144541625_0.3661093173991604_-0.04356076460870829
4029,BA_LEFT_CLICK,0,0.2904330152514722_0.7954007796817666_-0.021217866035020058,0.3470540598045136_0.7937302282320745_-0.01691425723567542,0.4059612846080233_0.7568599222406849_-0.004968984144211792,0.4475336872531118_0.7186079487611146_0.012106674005228992,0.4776863574234418_0.6845110912335804_0.03478225120011292,0.3842926821137369_0.5708216053186721_0.015282072402289123,0.4184352459251914_0.4933439153699962_0.011564851200218981,0.4428339950069209_0.4553807100711662_0.0026336281585309764,0.4666747595198711_0.4281090303857594_-0.02502836764405833,0.35928702062613516_0.5413010042286082_0.008626786041812138,0.3852349687724248_0.44279439461384407_-0.0016289320434335216,0.40852123725849016_0.39389021793505774_-0.02363852730797233,0.43170683434142143_0.3647520171460282_-0.04360970768763802
