participant_id,task,trail,label,consecutive_frames
1,MENU_NAVIGATION,4,RIGHT_RELEASE,8
1,MENU_NAVIGATION,4,NONE,24
1,MENU_NAVIGATION,4,LEFT_PRESS,9
1,MENU_NAVIGATION,4,LEFT_RELEASE,11
1,MENU_NAVIGATION,4,NONE,11
1,POINT_N_CLICK,0,NONE,48
1,POINT_N_CLICK,0,LEFT_PRESS,7
1,POINT_N_CLICK,0,LEFT_RELEASE,12
1,POINT_N_CLICK,0,NONE,32
1,POINT_N_CLICK,0,LEFT_PRESS,8
1,POINT_N_CLICK,0,LEFT_RELEASE,11
1,POINT_N_CLICK,0,NONE,20
1,POINT_N_CLICK,0,LEFT_PRESS,6
1,POINT_N_CLICK,0,LEFT_RELEASE,13
1,POINT_N_CLICK,0,NONE,8
1,POINT_N_CLICK,1,NONE,62
1,POINT_N_CLICK,1,LEFT_PRESS,9
1,POINT_N_CLICK,1,LEFT_RELEASE,10
1,POINT_N_CLICK,1,NONE,30
1,POINT_N_CLICK,1,LEFT_PRESS,8
1,POINT_N_CLICK,1,LEFT_RELEASE,9
1,POINT_N_CLICK,1,NONE,20
1,POINT_N_CLICK,1,LEFT_PRESS,8
1,POINT_N_CLICK,1,LEFT_RELEASE,14
1,POINT_N_CLICK,2,NONE,58
1,POINT_N_CLICK,2,LEFT_PRESS,7
1,POINT_N_CLICK,2,LEFT_RELEASE,6
1,POINT_N_CLICK,2,NONE,31
1,POINT_N_CLICK,2,LEFT_PRESS,8
1,POINT_N_CLICK,2,LEFT_RELEASE,14
1,POINT_N_CLICK,2,NONE,27
1,POINT_N_CLICK,2,LEFT_PRESS,6
1,POINT_N_CLICK,2,LEFT_RELEASE,16
1,POINT_N_CLICK,2,NONE,8
1,POINT_N_CLICK,3,NONE,69
1,POINT_N_CLICK,3,LEFT_PRESS,7
1,POINT_N_CLICK,3,LEFT_RELEASE,13
1,POINT_N_CLICK,3,NONE,48
1,POINT_N_CLICK,3,LEFT_PRESS,8
1,POINT_N_CLICK,3,LEFT_RELEASE,10
1,POINT_N_CLICK,3,NONE,26
