pid,task_type,trial_index,complete_time,is_correct,MenuSelect-menu_length,MenuSelect-target_index,MenuSelect-selected_index,MenuSelect-error_distance,MenuSelect-target_distance,MenuSelect-moving_distance,DragDrop-target_area,DragDrop-dropped_area,DragDrop-error_distance,DragDrop-target_distance,DragDrop-drag_distance,DragDrop-moving_distance,KeyboardInput-target_word,KeyboardInput-entered_word,KeyboardInput-num_key_clicks,KeyboardInput-num_backspaces,KeyboardInput-moving_distance,system
3,KeyboardInput,4,46.532214879989624,1,,,,,,,,,,,,,COMPUTER,COMPUTER,11.0,1.0,5934.333359001999,gesture
3,KeyboardInput,5,41.16155195236206,1,,,,,,,,,,,,,ALGORITHM,ALGORITHM,10.0,0.0,5119.4822682097865,gesture
3,MenuSelect,1,20.630324125289917,0,6.0,3.0,,419.86902719776793,232.13142829009604,2464.8484081235124,,,,,,,,,,,,gesture
3,MenuSelect,2,12.164835691452026,1,6.0,4.0,4.0,320.2951763608063,284.8596145472362,593.943697972497,,,,,,,,,,,,gesture
3,MenuSelect,3,9.297456979751589,1,6.0,4.0,4.0,384.15751977541714,284.8596145472362,355.8544428826432,,,,,,,,,,,,gesture
3,MenuSelect,4,3.529783010482788,1,6.0,0.0,0.0,1094.2307800459646,111.68258592994702,175.36595133332446,,,,,,,,,,,,gesture
3,MenuSelect,5,5.862178087234497,0,6.0,4.0,3.0,338.59858239514233,284.8596145472362,459.62723080556776,,,,,,,,,,,,gesture
3,DragDrop,1,2.304298162460327,1,,,,,,,C,C,830.0295175474183,830.0295175474183,0.0,896.0058659680872,,,,,,touchpad
3,DragDrop,2,1.8949429988861084,1,,,,,,,A,A,767.3936408389113,767.3936408389113,0.0,628.3799916266911,,,,,,touchpad
3,DragDrop,3,2.3262410163879395,1,,,,,,,D,D,1103.748159681365,1103.748159681365,0.0,968.430769507212,,,,,,touchpad
3,DragDrop,4,2.093017101287842,1,,,,,,,C,C,876.9521081564261,876.9521081564261,0.0,639.2791550195815,,,,,,touchpad
3,DragDrop,5,2.155241012573242,1,,,,,,,B,B,1057.8355259680022,1057.8355259680022,0.0,1008.0046008140092,,,,,,touchpad
3,KeyboardInput,1,6.79099702835083,1,,,,,,,,,,,,,TYPING,TYPING,7.0,0.0,1394.0968593586858,touchpad
3,KeyboardInput,2,7.020723819732666,1,,,,,,,,,,,,,PRACTICE,PRACTICE,9.0,0.0,2760.164215313038,touchpad
3,KeyboardInput,3,7.200042009353638,1,,,,,,,,,,,,,KEYBOARD,KEYBOARD,9.0,0.0,2694.293792805135,touchpad
