timestamp,task,trail,WRIST_x,WRIST_y,WRIST_z,THUMB_CMC_x,THUMB_CMC_y,THUMB_CMC_z,THUMB_MCP_x,THUMB_MCP_y,THUMB_MCP_z,THUMB_IP_x,THUMB_IP_y,THUMB_IP_z,THUMB_TIP_x,THUMB_TIP_y,THUMB_TIP_z,INDEX_FINGER_MCP_x,INDEX_FINGER_MCP_y,INDEX_FINGER_MCP_z,INDEX_FINGER_PIP_x,INDEX_FINGER_PIP_y,INDEX_FINGER_PIP_z,INDEX_FINGER_DIP_x,INDEX_FINGER_DIP_y,INDEX_FINGER_DIP_z,INDEX_FINGER_TIP_x,INDEX_FINGER_TIP_y,INDEX_FINGER_TIP_z,MIDDLE_FINGER_MCP_x,MIDDLE_FINGER_MCP_y,MIDDLE_FINGER_MCP_z,MIDDLE_FINGER_PIP_x,MIDDLE_FINGER_PIP_y,MIDDLE_FINGER_PIP_z,MIDDLE_FINGER_DIP_x,MIDDLE_FINGER_DIP_y,MIDDLE_FINGER_DIP_z,MIDDLE_FINGER_TIP_x,MIDDLE_FINGER_TIP_y,MIDDLE_FINGER_TIP_z
48408,BA_POINT,0,0.23182753611168094,0.8762052549223663,-0.010954110402193126,0.3000792301273295,0.8424784018695318,-0.013842276995748578,0.3422513697768048,0.7937709181245985,-0.015815589238763562,0.3712517882513242,0.7494427484540747,-0.019969603371068408,0.3902338480209768,0.703868770004767,-0.019647823039854462,0.302989471723846,0.6508479788016956,0.009327146535046717,0.32366108707183583,0.5842248360728959,-0.0005879486610679245,0.34504005258885045,0.5572929729331803,-0.01251089308947613,0.3628753997859369,0.5524775966533313,-0.04863990277995678,0.27166369846957583,0.6325520882397534,0.006773177865546299,0.29026681271392196,0.5337895538106019,0.0029742768983795956,0.30805404591543994,0.4732461091551385,-0.0160450924731597,0.3256015345793967,0.42590564844794987,-0.0398721694624386
48438,BA_POINT,0,0.23205060770957334,0.875730196102505,-0.010909441473743484,0.30020940594482015,0.8419740497350665,-0.013818967155909776,0.3423237994690574,0.7932636808345177,-0.0158526775515562,0.3713294120730748,0.7489885268424834,-0.020131822189843315,0.39037666004939564,0.7035657830249928,-0.019844139626951928,0.3032238036554745,0.6503424345741019,0.009283214310747639,0.32389321773524277,0.5837172278098853,-0.0006503426043342285,0.34524698810265086,0.5567635575381336,-0.012588691089870853,0.36308285418963515,0.5518289911372097,-0.048725111730496186,0.27190778487124173,0.6320451743912412,0.006786553081593,0.2905827946440227,0.5332027264987989,0.002877450363298632,0.30841735687242766,0.4727604839542072,-0.016182366653069234,0.32601310136652034,0.4254672198119793,-0.03998145756530458
48475,BA_POINT,0,0.23208677677987946,0.8753815964571994,-0.010671828379361762,0.3003490888484922,0.8415022372627237,-0.013524223118858527,0.34233554366269403,0.7926571783216365,-0.015629299662628625,0.3713506163836948,0.7484728477648803,-0.02001321276915523,0.39053120837246336,0.7034027510652275,-0.01986922821309719,0.30331918002459934,0.649762058201579,0.009392593403611387,0.32401504992862695,0.583213186926253,-0.0004890814827403016,0.3454022487520029,0.5561571104882095,-0.012329273024656235,0.36323836901836465,0.5511403050122764,-0.04836617435820906,0.2719472832139184,0.6316545444736253,0.006789801928775376,0.29054431017047944,0.5326632887963902,0.0030131316196603595,0.3084648067664053,0.4722083928854117,-0.015939453159796696,0.32614316799430887,0.42502729643368997,-0.03968603847350831
48507,BA_POINT,0,0.23212768660925973,0.8750590742200504,-0.010718211881422149,0.30050252862045024,0.8410962724227888,-0.01345259249197403,0.3424106292966103,0.7920653674436862,-0.015574545210296992,0.3713872255231089,0.747926265577627,-0.019940775322059418,0.3907041996767915,0.7031287140662934,-0.01983922820016983,0.30341128231122916,0.6493624758268577,0.009459649304512187,0.32409903907315063,0.5828925781779348,-0.00036454442393943365,0.34550802155485555,0.55570332873328,-0.01214899279630809,0.3633364535097509,0.5506103965519354,-0.04813436588293718,0.27197631292787,0.6314228525169191,0.006812590217293793,0.2905342054033819,0.5323042059615812,0.0031344454297767494,0.3085014971026537,0.47178197285897333,-0.015700919560613237,0.3262134016210941,0.42458808461017833,-0.03938472221633717
48540,BA_POINT,0,0.2321523320829324,0.8746749687647732,-0.01056366143791131,0.3006720998864878,0.8406294865241991,-0.013291952907935457,0.342531279964693,0.7915769222127004,-0.015482670502420333,0.3714666164990383,0.7475022559008223,-0.01994825934341719,0.39086902141974744,0.7027248650404188,-0.019986216034295106,0.303468376167892,0.6490100512143122,0.0095008157928491,0.3241664926492066,0.5826460093921708,-0.000282155420400021,0.3456084827117189,0.5553086532629606,-0.011997803810887568,0.3634387808421635,0.5501347329519976,-0.047939832374623674,0.2719941901623949,0.6312280933386085,0.006811133061410184,0.2905463633270695,0.5320199080050438,0.003243672961739414,0.30855563298294997,0.4714452535420005,-0.01546208710036437,0.326314894013016,0.42421337397247494,-0.0390973355399841
48575,BA_POINT,0,0.2322061989430946,0.8743774595622947,-0.010463263914332803,0.30079822015615376,0.8402673350041189,-0.013146985888398232,0.34270421365376125,0.7914655449189031,-0.015330313791081166,0.3716647106072202,0.7475362209193883,-0.01974238185064928,0.39106459617937706,0.7025377201725937,-0.019812038585187552,0.3036049185341824,0.6488452108094015,0.009531515299455673,0.3243311115330768,0.5825804925494422,-0.0002449796168147068,0.34579993085321303,0.5550778018217943,-0.011901184728664586,0.36363147158458897,0.5496907946509353,-0.04773490507616302,0.27211559553621173,0.6311165007214545,0.006799536896396634,0.2907096371914255,0.5319009024095893,0.00329093733608541,0.30871373427255994,0.47128940705532585,-0.015325963203603112,0.32644710354201684,0.4239661350357528,-0.03887821761983824
48607,BA_POINT,0,0.23230333298240996,0.873800826292414,-0.010436670542038295,0.30105856475712517,0.8397750176004631,-0.013138625478678181,0.34309124906441224,0.7912001921492644,-0.01539182595351923,0.3719750764100468,0.7475629757017277,-0.019927994235173354,0.3912753498580067,0.7026890434972364,-0.020152135526849076,0.3039678297953788,0.6486790062100823,0.009443676935971857,0.3246991927008877,0.5826945906109039,-0.00022619132742393341,0.34613909758135886,0.5548267449364395,-0.01173959657424484,0.36386669841635283,0.5490668151412195,-0.04737535271417062,0.27242206326864526,0.6310798336872101,0.006795556954661177,0.29108835465632343,0.5318835892830182,0.003465800030468441,0.3090278686073943,0.47117807534595135,-0.014916442099804944,0.3266805979585067,0.4236658298578259,-0.0384105118371502
48641,BA_POINT,0,0.2326874349100979,0.8733742811053424,-0.010875823843699148,0.30148272846127877,0.8399304204791437,-0.013434444134182322,0.34369956222836695,0.7914559256043299,-0.015486540849523455,0.3725509681009226,0.7479264148211783,-0.01976664429808894,0.391504034282844,0.7030385667603747,-0.01974786725498299,0.3045132070793298,0.6487269187856624,0.00944425977654543,0.32533130602686006,0.5827942852359156,-7.933310306158326e-05,0.3468158557971733,0.5546653219402099,-0.011586429058502472,0.3645165297764783,0.5485818532016902,-0.04713940742310652,0.2730381035148491,0.6310403791911317,0.006843599840695991,0.29185501700180744,0.5319603259208908,0.0035015750276553926,0.3098647499869286,0.4712367818137789,-0.014833828618999534,0.3274472930411828,0.4237232513114927,-0.038254911482926646
48674,BA_POINT,0,0.2337121656404807,0.8731348496889615,-0.011744920113262695,0.3022977521736251,0.8403516096758565,-0.014199027828174105,0.34480314467481393,0.7918294915363204,-0.015859632655395438,0.37358759345237197,0.748298323801065,-0.019541004823885277,0.3921738146798458,0.7037853546557058,-0.018966018413361395,0.3054173100005457,0.6488104053250082,0.00938410067468712,0.32633114303468386,0.5828883937343867,-6.912743358680932e-05,0.3477624905077948,0.5547970015478345,-0.011643468939455635,0.36546509531166116,0.5483214852736019,-0.047165239832375604,0.274139326281499,0.6308649895864258,0.006954182591792213,0.2929373460256098,0.5323481341078369,0.003285202053984666,0.3109864159258222,0.4718228710000344,-0.015275256483456463,0.3285145861610041,0.4246179288137053,-0.03886754396009162
48709,BA_POINT,0,0.23526179717913262,0.8729405269794102,-0.012784336466453206,0.30355617091805354,0.840807126592614,-0.015225994616188423,0.34647669604723946,0.7920067269647132,-0.01629069663239588,0.37515721918442874,0.748405914823933,-0.01918029052197291,0.3932919048513291,0.7039979654643719,-0.017701881531760284,0.3067630436429079,0.6488228947250945,0.009223106037853791,0.32782146092509207,0.5825364940440585,-0.00014943854259546064,0.34919180488334767,0.5548839393196275,-0.011933624429060846,0.36693330261727936,0.5481760976732273,-0.04763730067537162,0.2757891328868478,0.6306000803532228,0.007080312595173731,0.2945181431168745,0.5325974408685754,0.002815821651856632,0.3125863205458336,0.4721797094587189,-0.01603471767799137,0.3300353727900399,0.4252050499525145,-0.03998995091476214
