Start training script: Sun Nov 30 17:03:02 2025
Generating dataset from labeled CSV.
+ Processing participant 3, task MENU_NAVIGATION, trail 0
+ Processing participant 3, task MENU_NAVIGATION, trail 1
+ Processing participant 3, task MENU_NAVIGATION, trail 2
+ Processing participant 3, task MENU_NAVIGATION, trail 3
+ Processing participant 3, task MENU_NAVIGATION, trail 4
+ Processing participant 3, task POINT_N_CLICK, trail 0
+ Processing participant 3, task POINT_N_CLICK, trail 1
+ Processing participant 3, task POINT_N_CLICK, trail 2
+ Processing participant 3, task POINT_N_CLICK, trail 3
+ Processing participant 3, task POINT_N_CLICK, trail 4
+ Processing participant 3, task RIGHT_CLICK, trail 0
+ Processing participant 3, task RIGHT_CLICK, trail 1
+ Processing participant 3, task RIGHT_CLICK, trail 2
+ Processing participant 3, task RIGHT_CLICK, trail 3
+ Processing participant 3, task RIGHT_CLICK, trail 4
+ Processing participant 3, task RIGHT_CLICK, trail 5
+ Processing participant 3, task RIGHT_CLICK, trail 6
+ Processing participant 3, task RIGHT_CLICK, trail 7
+ Processing participant 3, task RIGHT_CLICK, trail 8
+ Processing participant 3, task RIGHT_CLICK, trail 9
+ Processing participant 4, task DRAGGING, trail 0
+ Processing participant 4, task DRAGGING, trail 1
+ Processing participant 4, task DRAGGING, trail 2
+ Processing participant 4, task DRAGGING, trail 3
+ Processing participant 4, task DRAGGING, trail 4
+ Processing participant 4, task LEFT_CLICK, trail 0
+ Processing participant 4, task LEFT_CLICK, trail 1
+ Processing participant 4, task LEFT_CLICK, trail 2
+ Processing participant 4, task LEFT_CLICK, trail 3
+ Processing participant 4, task LEFT_CLICK, trail 4
+ Processing participant 4, task LEFT_CLICK, trail 5
+ Processing participant 4, task LEFT_CLICK, trail 6
+ Processing participant 4, task LEFT_CLICK, trail 7
+ Processing participant 4, task LEFT_CLICK, trail 8
+ Processing participant 4, task LEFT_CLICK, trail 9
+ Processing participant 4, task MENU_NAVIGATION, trail 0
+ Processing participant 4, task MENU_NAVIGATION, trail 1
+ Processing participant 4, task MENU_NAVIGATION, trail 2
+ Processing participant 4, task MENU_NAVIGATION, trail 3
+ Processing participant 4, task MENU_NAVIGATION, trail 4
+ Processing participant 4, task POINT_N_CLICK, trail 0
+ Processing participant 4, task POINT_N_CLICK, trail 1
+ Processing participant 4, task POINT_N_CLICK, trail 2
+ Processing participant 4, task POINT_N_CLICK, trail 3
+ Processing participant 4, task POINT_N_CLICK, trail 4
+ Processing participant 4, task RIGHT_CLICK, trail 0
+ Processing participant 4, task RIGHT_CLICK, trail 1
+ Processing participant 4, task RIGHT_CLICK, trail 2
+ Processing participant 4, task RIGHT_CLICK, trail 3
+ Processing participant 4, task RIGHT_CLICK, trail 4
+ Processing participant 4, task RIGHT_CLICK, trail 5
+ Processing participant 4, task RIGHT_CLICK, trail 6
+ Processing participant 4, task RIGHT_CLICK, trail 7
+ Processing participant 4, task RIGHT_CLICK, trail 8
+ Processing participant 4, task RIGHT_CLICK, trail 9
+ Processing participant 5, task DRAGGING, trail 0
+ Processing participant 5, task DRAGGING, trail 1
+ Processing participant 5, task DRAGGING, trail 2
+ Processing participant 5, task DRAGGING, trail 3
+ Processing participant 5, task DRAGGING, trail 4
+ Processing participant 5, task LEFT_CLICK, trail 0
+ Processing participant 5, task LEFT_CLICK, trail 1
+ Processing participant 5, task LEFT_CLICK, trail 2
+ Processing participant 5, task LEFT_CLICK, trail 3
+ Processing participant 5, task LEFT_CLICK, trail 4
+ Processing participant 5, task LEFT_CLICK, trail 5
+ Processing participant 5, task LEFT_CLICK, trail 6
+ Processing participant 5, task LEFT_CLICK, trail 7
+ Processing participant 5, task LEFT_CLICK, trail 8
+ Processing participant 5, task LEFT_CLICK, trail 9
+ Processing participant 5, task MENU_NAVIGATION, trail 0
+ Processing participant 5, task MENU_NAVIGATION, trail 1
+ Processing participant 5, task MENU_NAVIGATION, trail 2
+ Processing participant 5, task MENU_NAVIGATION, trail 3
+ Processing participant 5, task MENU_NAVIGATION, trail 4
+ Processing participant 5, task POINT_N_CLICK, trail 0
+ Processing participant 5, task POINT_N_CLICK, trail 1
+ Processing participant 5, task POINT_N_CLICK, trail 2
+ Processing participant 5, task POINT_N_CLICK, trail 3
+ Processing participant 5, task POINT_N_CLICK, trail 4
+ Processing participant 5, task RIGHT_CLICK, trail 0
+ Processing participant 5, task RIGHT_CLICK, trail 1
+ Processing participant 5, task RIGHT_CLICK, trail 2
+ Processing participant 5, task RIGHT_CLICK, trail 3
+ Processing participant 5, task RIGHT_CLICK, trail 4
+ Processing participant 5, task RIGHT_CLICK, trail 5
+ Processing participant 5, task RIGHT_CLICK, trail 6
+ Processing participant 5, task RIGHT_CLICK, trail 7
+ Processing participant 5, task RIGHT_CLICK, trail 8
+ Processing participant 5, task RIGHT_CLICK, trail 9
+ Processing participant 6, task DRAGGING, trail 0
+ Processing participant 6, task DRAGGING, trail 1
+ Processing participant 6, task DRAGGING, trail 2
+ Processing participant 6, task DRAGGING, trail 3
+ Processing participant 6, task DRAGGING, trail 4
+ Processing participant 6, task LEFT_CLICK, trail 0
+ Processing participant 6, task LEFT_CLICK, trail 1
+ Processing participant 6, task LEFT_CLICK, trail 2
+ Processing participant 6, task LEFT_CLICK, trail 3
+ Processing participant 6, task LEFT_CLICK, trail 4
+ Processing participant 6, task LEFT_CLICK, trail 5
+ Processing participant 6, task LEFT_CLICK, trail 6
+ Processing participant 6, task LEFT_CLICK, trail 7
+ Processing participant 6, task LEFT_CLICK, trail 8
+ Processing participant 6, task LEFT_CLICK, trail 9
+ Processing participant 6, task MENU_NAVIGATION, trail 0
+ Processing participant 6, task MENU_NAVIGATION, trail 1
+ Processing participant 6, task MENU_NAVIGATION, trail 2
+ Processing participant 6, task MENU_NAVIGATION, trail 3
+ Processing participant 6, task MENU_NAVIGATION, trail 4
+ Processing participant 6, task POINT_N_CLICK, trail 0
+ Processing participant 6, task POINT_N_CLICK, trail 1
+ Processing participant 6, task POINT_N_CLICK, trail 2
+ Processing participant 6, task POINT_N_CLICK, trail 3
+ Processing participant 6, task POINT_N_CLICK, trail 4
+ Processing participant 6, task RIGHT_CLICK, trail 0
+ Processing participant 6, task RIGHT_CLICK, trail 1
+ Processing participant 6, task RIGHT_CLICK, trail 2
+ Processing participant 6, task RIGHT_CLICK, trail 3
+ Processing participant 6, task RIGHT_CLICK, trail 4
+ Processing participant 6, task RIGHT_CLICK, trail 5
+ Processing participant 6, task RIGHT_CLICK, trail 6
+ Processing participant 6, task RIGHT_CLICK, trail 7
+ Processing participant 6, task RIGHT_CLICK, trail 8
+ Processing participant 6, task RIGHT_CLICK, trail 9
dataset shape: torch.Size([22527, 5, 12, 3]), torch.Size([22527])
Dataset distribution:
> Train: Counter({np.int64(0): 6594, np.int64(1): 2251, np.int64(2): 2006, np.int64(4): 1626, np.int64(3): 1038})
