timestamp,task,trail,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP
-1,BA_LEFT_CLICK,0,,,,,,,,,,,,,
13302,BA_LEFT_CLICK,0,0.2676645942944104_0.8112307282594587_-0.010407167674027756,0.3348058542987413_0.8050050619331441_-0.015573583350521577,0.3939474550861803_0.7597827296223134_-0.008505479735090903,0.4342060686074704_0.7078545946237388_-0.002028594227114254,0.4712349928013515_0.6782364690020578_0.01535597638681644,0.3692347178982547_0.5818828017337307_0.009322384446615742,0.4029454566845577_0.4973340014558025_0.0033180565215588285,0.4251719058793307_0.44182000959222956_-0.00338564763670352,0.44500431013287756_0.3957549562242657_-0.03142090660186664,0.33897689908193646_0.5486361970915954_0.0071601034184701545,0.3608807125623402_0.43999535144744695_-0.0012362258830460233,0.37834499731540017_0.37027979455837606_-0.02328062712533126,0.3939515086724042_0.3164773600235056_-0.04123028032514266
13336,BA_LEFT_CLICK,0,0.2694973511233183_0.8090195252345203_-0.011118435264367163,0.33639271906063617_0.803148784882819_-0.01587258561924478,0.3952233157935689_0.7579773529979301_-0.00863328674789633,0.4353505314129997_0.7062137570664837_-0.0017116088163685273,0.4719559317105636_0.6765031451952376_0.015806989442468597,0.3706344242991488_0.5808314896284091_0.00951197004298748,0.40412491979672766_0.4966198070797116_0.0036685422521782456,0.4262126697096444_0.44145222826246777_-0.003005209914487099,0.44592026147986774_0.39567662518716096_-0.030929495071189052,0.34064866447009323_0.5475976459514745_0.007186595353913888,0.3626312751718662_0.4395036959757676_-0.0009865726787878929,0.3801028844108528_0.3700926110144377_-0.022872733349663815,0.39568763039220806_0.316556556378561_-0.040703204572461536
13369,BA_LEFT_CLICK,0,0.27145067554587143_0.8070422207392215_-0.011402574897399188,0.33792788665330936_0.8015009710367484_-0.015868338223102733,0.39646849929356176_0.7563384425332318_-0.008658958270997729,0.43646344667580994_0.7047266957509959_-0.0016458511147365153,0.4726702861208618_0.6749238797006543_0.01578581756048275,0.37198256461632095_0.5800425582455435_0.009613287496410858,0.4052868757444561_0.49619238487504247_0.0036952430376968816,0.4272250781848603_0.4413154727096904_-0.0029935021512838165,0.44685173848267656_0.39574138912754253_-0.03097453747178431,0.3422739672148838_0.5467627161607462_0.007208114492640961,0.36436012301034154_0.4392121584503071_-0.001015454789720683,0.3818576666824298_0.370066257714901_-0.022761735638032597,0.3974509701069946_0.31669266689201814_-0.04061865294000506
13403,BA_LEFT_CLICK,0,0.2731775697221281_0.8048230723601151_-0.011703550494186594,0.3395151446726842_0.7996416409155499_-0.015858583470823803,0.397704429619023_0.7548084101430711_-0.008768461382270595,0.4375412593357346_0.7035137770452853_-0.001696398241795316,0.4732797556892157_0.6733720881126353_0.015529606149139985,0.3733582000637996_0.579047049945739_0.009722689428204737,0.40648117453240873_0.49566613166826823_0.003766258805558049,0.42827115260716864_0.4410933439632693_-0.002941841974904693,0.4477954810380639_0.3957991607443253_-0.030948123605929342,0.3438185348101151_0.54584417055967_0.007246569173730269,0.36596191456466054_0.4388255418370737_-0.0010022031352700462,0.38362632656989715_0.3700920004842072_-0.022676542059620417,0.3994075488993927_0.3171493543655127_-0.04064765758531093
13436,BA_LEFT_CLICK,0,0.27493448703685774_0.8027574671158448_-0.01231090549744965,0.3408853551123081_0.7979202524297055_-0.016145077602579147,0.39886422132850397_0.7532206886094521_-0.008909213333035106,0.4385481460946864_0.7020830319626137_-0.0016432879435835002,0.47364164302946093_0.6717164740866048_0.01560230525775193,0.374662651674346_0.5781023469496942_0.009880112320800178,0.4075621111423454_0.4950009705964554_0.003924770354878874,0.4292320672921863_0.440871849433616_-0.0028864195704861938,0.44873704954144966_0.3959541922772535_-0.030982366718357825,0.34536949149669743_0.5449149990949833_0.0072629376518304,0.3674928647720745_0.43833490141475784_-0.001005571650328769,0.38523313971279644_0.3699472394941163_-0.022658218170039015,0.4011208281476819_0.31731179225209954_-0.04070053547395706
13471,BA_LEFT_CLICK,0,0.27650710462887584_0.8007513843257631_-0.012978556844534885,0.34229654593257414_0.7961340630430077_-0.016333460117589595,0.39997744302273364_0.7514502734408149_-0.008993350695534225,0.439528201743608_0.7005086387239301_-0.0014830775513504123,0.4741450024461823_0.6697730243925749_0.015657296557771674,0.37578749581686327_0.5770724389496785_0.010155136752620978,0.40839647994285283_0.4943107642605964_0.004310806154928184,0.43000706348836637_0.44066692572914384_-0.0024557161438786557,0.44952830230520263_0.3964397673578746_-0.030426285380129835,0.3467199889969948_0.5441637225845499_0.0073308336897750575,0.3688858530874198_0.4380687270819711_-0.0008218797579308618,0.3868341252956278_0.37020253518087964_-0.022304006298249687,0.40299732212698647_0.3180935074310589_-0.04022584199725342
13503,BA_LEFT_CLICK,0,0.27785274004427196_0.7992124408308192_-0.013852920606090556,0.34351727186034764_0.7946518130602912_-0.01671305392599993,0.4008765855655716_0.7496869588268098_-0.00915524123586311,0.44012325185509155_0.6986790772312803_-0.0012840765678289873,0.47435843927193305_0.6676447606662511_0.01586346191529235,0.376673602457934_0.5760361888840471_0.010515246584809337,0.40903547204212715_0.4934764486849359_0.004780229079502088,0.4306451027712839_0.44034011111325283_-0.00193154821660706,0.4502798164314119_0.39669168510212005_-0.029795379312042253,0.34781030521012335_0.5435294062216317_0.007450330806895883,0.36996163185081044_0.43806776557442084_-0.0006299277174393551,0.38812731152800617_0.37065094215761263_-0.02210583269982793,0.40460047701578294_0.3190270892318955_-0.03993330073212586
13539,BA_LEFT_CLICK,0,0.2789937704045582_0.797981321797651_-0.01496719288774644,0.34461562489184255_0.7932954603435578_-0.017275846754844136,0.40155545784836183_0.7481858749685524_-0.009520376789387814,0.44043818058945045_0.6969506880469262_-0.0013043081135275638,0.4741657017272999_0.6651028089983939_0.015773748257667232,0.3773315615622945_0.575523200737212_0.010798174178438594,0.40934053497851985_0.4932924018144649_0.0051920562170165874,0.430884583403398_0.4405990079694292_-0.0015671037921634406,0.4505396063666414_0.3976446431332708_-0.029385485447409838,0.348637610318001_0.5432627916589765_0.007535651914775206,0.37084286614768636_0.43832319501301875_-0.0003410665216382516,0.38924986677191975_0.3714766522494208_-0.021716570201629464,0.4060915337370313_0.3204278295466797_-0.039536809300224005
13570,BA_LEFT_CLICK,0,0.27997047299059297_0.7970077752954817_-0.01589176281649522,0.34523516420294853_0.7921472806932117_-0.01780578881926151,0.40177463423256216_0.7471466079948614_-0.009839355006072324,0.4403637702653989_0.6957456343036603_-0.0014706463909723503,0.4735493730387918_0.6628054732691192_0.015535784680772154,0.3776636296247441_0.5751990819825918_0.011007326273788778,0.40936529983950537_0.49326657301903104_0.005492746764995107,0.4308030951895153_0.44106849914020707_-0.0013948640854618622,0.45045851075974075_0.39870879979561813_-0.02925292010860689,0.34914615721840536_0.543067142983706_0.007584998854994642,0.37131686770528904_0.4386730394622583_-0.00018567695397823437,0.38994687046068766_0.3725263730881414_-0.02158129639873033,0.4071535648001414_0.3221106724126733_-0.03935613761332831
